CPKBY1_1,CPKBY28_4,CPKBY1_2,CPKBY29_1,CPKBY1_3,CPKBY29_2,CPKBY1_4,CPKBY29_3,CPKBY2_1,CPKBY29_4,CPKBY2_2,CPKBY30_1,CPKBY2_3,CPKBY30_2,CPKBY2_4,CPKBY30_3,Blank,CPKBY30_4,CPKBY4_1,CPKBY31_1,CPKBY4_2,CPKBY31_2,CPKBY5_1,Blank
CPKBY54_4,CPKBY79_4,CPKBY55_1,CPKBY81_1,CPKBY55_2,CPKBY80_2,CPKBY55_3,CPKBY80_3,CPKBY55_4,CPKBY80_1,CPKBY56_1,CPKBY81_2,CPKBY56_2,CPKBY81_3,CPKBY56_3,CPKBY81_4,CPKBY56_4,CPKBY82_1,CPKBY57_1,CPKBY82_2,CPKBY57_2,CPKBY82_3,CPKBY57_3,CPKBY82_4
CPKBY5_2,CPKBY31_4,CPKBY5_3,CPKBY32_1,CPKBY5_4,CPKBY32_2,CPKBY6_1,CPKBY32_3,CPKBY6_2,CPKBY32_4,CPKBY6_3,CPKBY33_1,CPKBY6_4,CPKBY33_2,CPKBY7_1,CPKBY33_3,CPKBY7_2,CPKBY33_4,CPKBY7_3,CPKBY34_1,CPKBY7_4,CPKBY34_2,CPKBY8_1,CPKBY34_3
CPKBY57_4,CPKBY83_1,CPKBY58_1,CPKBY83_2,CPKBY58_2,CPKBY83_3,CPKBY58_3,CPKBY83_4,CPKBY58_4,CPKBY84_1,CPKBY59_1,CPKBY84_2,CPKBY59_2,CPKBY84_3,CPKBY59_3,CPKBY85_1,CPKBY59_4,CPKBY85_2,CPKBY60_1,CPKBY85_3,CPKBY60_2,CPKBY85_4,CPKBY60_3,CPKBY86_1
CPKBY8_2,CPKBY34_4,CPKBY8_3,CPKBY35_1,CPKBY8_4,CPKBY35_2,CPKBY9_1,CPKBY35_3,CPKBY9_2,CPKBY35_4,CPKBY9_3,CPKBY36_1,CPKBY9_4,CPKBY36_2,CPKBY10_1,CPKBY37_1,CPKBY10_2,CPKBY37_2,CPKBY10_3,CPKBY38_1,CPKBY11_1,CPKBY38_2,CPKBY11_2,CPKBY38_3
CPKBY60_4,CPKBY86_2,CPKBY61_1,CPKBY86_3,CPKBY61_2,CPKBY87_1,CPKBY61_3,CPKBY87_2,CPKBY61_4,CPKBY87_3,CPKBY62_1,CPKBY88_1,CPKBY62_2,CPKBY88_2,CPKBY62_3,CPKBY88_3,CPKBY62_4,CPKBY88_4,CPKBY63_1,CPKBY89_1,CPKBY63_2,CPKBY89_2,CPKBY63_3,CPKBY89_3
CPKBY12_1,CPKBY39_1,CPKBY12_2,CPKBY39_2,CPKBY12_3,CPKBY39_3,CPKBY13_1,CPKBY39_4,CPKBY13_2,CPKBY40_1,CPKBY13_3,CPKBY40_2,CPKBY13_4,CPKBY40_3,CPKBY14_1,CPKBY40_4,CPKBY14_2,CPKBY41_1,CPKBY14_3,CPKBY41_2,CPKBY15_1,CPKBY41_3,CPKBY15_2,CPKBY41_4
CPKBY63_4,CPKBY89_4,CPKBY64_1,CPKBY90_1,CPKBY64_2,CPKBY90_2,CPKBY64_3,CPKBY90_3,CPKBY64_4,CPKBY91_1,CPKBY65_1,CPKBY91_2,CPKBY65_2,CPKBY91_3,CPKBY65_3,CPKBY91_4,CPKBY65_4,CPKBY92_1,CPKBY66_1,CPKBY92_2,CPKBY66_2,CPKBY92_3,CPKBY66_3,CPKBY92_4
CPKBY15_3,CPKBY42_1,CPKBY15_4,CPKBY42_2,CPKBY16_1,CPKBY42_3,CPKBY16_2,CPKBY42_4,CPKBY16_3,CPKBY43_1,CPKBY16_4,CPKBY43_2,CPKBY17_1,CPKBY43_3,CPKBY17_2,CPKBY43_4,CPKBY17_3,CPKBY44_1,CPKBY17_4,CPKBY44_2,CPKBY18_1,CPKBY44_3,CPKBY18_2,CPKBY44_4
CPKBY66_4,CPKBY93_1,CPKBY67_1,CPKBY93_2,CPKBY67_2,CPKBY93_3,CPKBY67_3,Blank,CPKBY68_1,CPKBY93_4,CPKBY68_2,CPKBY94_1,CPKBY67_4,CPKBY94_2,CPKBY69_1,CPKBY94_3,CPKBY69_2,CPKBY94_4,CPKBY69_3,CPKBY95_1,CPKBY69_4,CPKBY95_2,CPKBY70_1,CPKBY95_3
CPKBY18_3,CPKBY45_1,CPKBY18_4,CPKBY45_2,CPKBY19_1,CPKBY45_3,CPKBY19_2,CPKBY45_4,CPKBY19_3,CPKBY46_1,CPKBY19_4,CPKBY46_2,CPKBY20_1,CPKBY46_3,CPKBY20_2,CPKBY46_4,CPKBY20_3,CPKBY47_1,CPKBY20_4,CPKBY47_2,CPKBY21_1,CPKBY47_3,CPKBY21_2,CPKBY47_4
